scenario,month,cost_brl_t,days,p_interrupt_pct,port,route
drought_ferrograo,May,488.7,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,May,576.6,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,May,608.9,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jun,489,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jun,580,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jun,613.2,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jul,489.3,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jul,582.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jul,616.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Aug,488.4,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Aug,573.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Aug,605.3,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Sep,501.1,47.11,10.08,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Sep,579.5,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Sep,595,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Oct,499.4,47.11,10.08,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Oct,562.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Nov,498.5,47.11,10.08,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Nov,553.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Dec,484.3,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
